"id","category_id","mahorais","francais","example","status",
"118","7","Namutsengeleye pavi be tsi sinyiha, marahaba ..","Voulez-vous vous pousser un peu,je suis serré, merci...","_","active",
"119","7","Vavo shofera, nisishuka kamwe vanu. Kisaje mwa ?","Là, chauffeur, je descends juste là. Combien vous dois-je?","_","active",
"120","7","Riali sitini."," 6 F.","_","active",
"121","7","Haya, suku yangina tsena.","Allez, à un autre jour!","_","active",
"122","7"," Jeje bweni, Nisutsaha tike mbili.","Bonjour madame, Je voudrais deux tickets.","_","active",
"123","7","Uvingi midzo ?","Avez-vous des bagages?","_","active",
"124","7","Ahan - Ra watru waili","Non, Nous sommes deux.","_","active",
"125","7","Haraka basi, be isilawa.","Vite alors, car elle s'en va.","_","active",
"126","7","Marahaba!","Merci!","_","active",
"127","7","Monye, nisaidie roni vanu ?","Monsieur, voulez-vous m'aider?","_","active",
"128","7","Aa, na valizi yaho ini ya ndziro ! Usipashiya mwa ?","Oh, votre valise est lourde! Prenez-vous l'avion?","_","active",
"129","7","Ewa - Nisendra masiwani .... Ihetsi Kamwe vavo -Marahaba.","Oui - Je vais aux Comores … Laissez-la, juste-là. Merci.","_","active",
"130","7","Musi hetsi midzo yanyu ha ri na hari.","Ne laissez pas vos bagages au milieu.","_","active",
"131","7","Monyewe gari dzindzano, nambari miya wa sitini, asi tswaha kabini.","Le propriétaire de la voiture jaune, N°160, est demandé à la cabine de pilotage.","_","active",
"132","8","Saladi","Salade","_","active",
"133","8","Feliki bwa","Brède","_","active",
"134","8","Feliki mhogo","Brède manioc ","_","active",
"135","8","Feliki mafana","Brède mafana","_","active",
"136","8","Feliki majimbi","Brède taro","_","active",
"137","8","Feliki uvunge","Brède mourongue","_","active",
"138","8","Feliki trango","Brède citrouille","_","active",
"139","8","Feliki batata","Brède patate douce","_","active",
"140","8","Muhogo","Manioc ","_","active",
"141","8","Trovi","Banane ","_","active",
"142","8","Tsuzi","Ambrevades ","_","active",
"143","8","Kundre ","Haricot ","_","active",
"144","8","Bengani ","Aubergine ","_","active",
"145","8","Batata ","Patate ","_","active",
"146","8","Dodoki","Pipangaille ","_","active",
"147","8","Frampe ","Fruit à pain ","_","active",
"148","8","Jimbi ","Songe ","_","active",
"149","8","Tamati ou temate ","Tomate ","_","active",
"150","8","Iolo","C'est gâté ","_","active",
"151","8","Ihivu","C'est mûr ","_","active",
"152","8","Mbitsi","C'est vert ","_","active",
"153","8","Upua","Cueillir ","_","active",
"154","8","Uhua","Eplucher","_","active",
"155","8","Nanasi","Ananas","_","active",
"156","8","Masindza","Banane mûre","_","active",
"157","8","Pwera","Goyave","_","active",
"158","8","Manga","Mangue","_","active",
"159","8","Pa paya","Papaye","_","active",
"160","8","Gwezi (la mbiya) ","Peau (d'un fruit)","_","active",
"161","8","Konokono ","Pomme cannelle","_","active",
"162","8","Ndrimu ","Citron","_","active",
"163","8","Nadzi ","Coco sec","_","active",
"164","8","Shijavu","Coco vert","_","active",
"165","8","Fenesi","Jaque","_","active",
"166","8","Trundra","Orange","_","active",
"167","8","Hanga","Basilic ","_","active",
"168","8","Mudarasini ","Cannelle ","_","active",
"169","8","Hawadji ","Cumin ","_","active",
"170","8","Dzindzano ","Safran","_","active",
"171","8","Putu","Piment","_","active",
"172","8","Vilivili ","Poivre","_","active",
"173","8","Singiziu ","Gingembre","_","active",
"174","8","Shirungu baswali ","Oignon","_","active",
"175","8","Shirungu vuje","Ail","_","active",
"176","8","Uhaju ","Tamarin","_","active",
"177","8","Nyama ","La viande","_","active",
"178","8","Nyama ya nyombe ","La viande de bœuf","_","active",
"179","8","Nyama ya mbuzi ","La viande de cabri","_","active",
"180","8","Nyama ya baribari ","La viande de mouton","_","active",
"181","8","Nyama ya matra","De la viande de grasse","_","active",
"182","8","Fi ","Du poisson","_","active",
"183","8","Dayi ","Du poisson séché","_","active",
"184","8","Uvima ","Peser","_","active",
"185","8","Nakotsaha kilo moja ","Je voudrais un kilo","_","active",
"186","8","Nivimiye kilo moja ! ","Voulez-vous peser un kilo pour moi ?","_","active",
"187","8","Nimbe !","Donne-moi !","_","active",
"188","8","Tsisiudza","Je ne vends pas","_","active",
"189","8","Zisiudziwa","Ils sont à vendre","_","active",
"190","8","Kwezi bweni !","Bonjour madame!","_","active",
"191","8","Mbona!","Bonjour!","_","active",
"192","8","Nitsaha feliki vanu, fungu kisaje mwa ?","Je voudrais des brèdes, combien vaut le paquet?","_","active",
"193","8","Riyali shirini.","2 F.","_","active",
"194","8"," Bwi, na wilo mwana pavi raha na fungu moja ile !Kuni engedzeya mwana pavi ?","Oh là là ! Que c'est peu par rapport à l'autre! Voulez-vous m'en mettre un peu plus?","_","active",
"195","8","Haya basi. ..be usudzoye dzoye !","Si vous voulez; mais n'en faites pas une habitude !","_","active",
"196","8","Ewa ! Marahaba. Kwaheri !","Entendu, merci. Au revoir!","_","active",
"197","8","Ewa , suku yangina tsena !","Salut! A un autre jour!","_","active",
"198","9","Duka","La boutique","_","active",
"199","9","Uudza","Vendre","_","active",
"200","9","Tsibuliya","J'ai un arrivage","_","active",
"201","9","Riyali ngavi / kisaje","Combieri d'argent","_","active",
"202","9","Ununua","Acheter","_","active",
"203","9","Marike","L'argent","_","active",
"204","9","Turuturu","Des pièces de monnaie","_","active",
"205","9","Thamani, kima","Le prix","_","active",
"206","9","Shukidza ithamani !","Baisse le prix !","_","active",
"207","9","Uhedza ithamani","Augmenter le prix","_","active",
"208","9","Hali swafi !","C'est très cher!","_","active",
"209","9","Rahisi!","C'est bon marché!","_","active",
"210","9","Swafi !","Vraiment!","_","active",
"211","9","Narirengeledze","Discutons (prix)","_","active",
"212","9","Nisikopa","Je demande un crédit","_","active",
"213","9","Ukopesha","Accorder un crédit","_","active",
"214","9","Wami tsikopesha","Je ne fais pas crédit","_","active",
"215","9","Deni","Une dette","_","active",
"216","9","Uliva deni","S'acquitter d'une dette","_","active",
"217","9","Usiudza hali / Usipua shitswa","Vous vendez très cher","_","active",
"218","9","Faida","Un bénéfice","_","active",
"219","9","Tsisipara ata shitru","Je ne fais aucun bénéfice","_","active",
"220","9","Vwa","Il y a, il y en a","_","active",
"221","9","Kavu","Il n'y en a pas","_","active",
"222","9","Ikomo","Il n'y en a plus","_","active",
"223","9","Badili","Un change","_","active",
"224","9","Ubadili","Echanger","_","active",
"225","9","Nitsaha badili !","Je voudrais de la monnaie! ","_","active",
"226","9","Utsahua","Choisir","_","active",
"227","9","Uvima","Peser","_","active",
"228","9","Mpindrio","L'habillement","_","active",
"229","9","Uvimanisa","Mesurer","_","active",
"230","9","Mpindrio","L'habillement","_","active",
"231","9","Nguo","Les vêtements","_","active",
"232","9","Upindra","S'habiller","_","active",
"233","9","Utriya nguo","Porter des vêtements","_","active",
"234","9","Utsua nguo","Se déshabiller","_","active",
"235","9","Uvimanisa","Essayer","_","active",
"236","9","Kaliso","Un short","_","active",
"237","9","Shimizi","Une chemise","_","active",
"238","9","Kotri","Un costume","_","active",
"239","9","Mihono","Les manches","_","active",
"240","9","Sirwali","Un pantalon","_","active",
"241","9","Mkandra","Une ceinture","_","active",
"242","9","Magoshi","Les chaussures","_","active",
"243","9","Nisoneye robo","Fais-moi une robe","_","active",
"244","9","Uzi","Un fil","_","active",
"245","9","Saluva","Un pagne porté par les femmes","_","active",
"246","9","Kishali, nambawani","Un châle, un voile","_","active",
"247","9","Kantshiri","Un soutien-gorge","_","active",
"248","9","Sabuni","Du savon","_","active",
"249","9","Marashi","Du parfum","_","active",
"250","9","Shipini","Bijou de nez","_","active",
"251","9","Dahabu","De l'or","_","active",
"252","9","Pere","Une bague","_","active",
"253","9","Bangili, kuku","Un bracelet","_","active",
"254","9","Kavi","Des boucles d'oreilles","_","active",
"255","9","Kabwa","Les chaussures","_","active",
"256","9","Mwavule","Un parapluie","_","active",
"257","9","Masono ","La couture ","_","active",
"258","9","Kulabu","Une épingle","_","active",
"259","9","Sindzano","Une aiguille","_","active",
"260","9","Marandro","Des haillons","_","active",
"261","9","Uzi","Un fil","_","active",
"262","9","Shipandre","Une tâche","_","active",
"263","9","Ya bole hanguvu na wami!","C'est trop grand pour moi!","_","active",
"264","9","Ya titi hanguvu na waye","C'est trop petit pour lui","_","active",
"265","9","Ya sawa na wami !","C'est juste ma taille!","_","active",
"266","9","Jeje bweni, ustamani trini?","Bonjour madame, que désirez-vous?","_","active",
"267","9","Tsikiya amba ubuliya nguo hunu !","J'ai entendu que vous avez un nouvel arrivage de vêtements ici !","_","active",
"268","9","Ewa. Tsizani. Aisa za rahisi.","Oui. Les voici. En plus, ils sont bon marché.","_","active",
"269","9","Be wami nakotsaha ni kope ata mwezi utsobuhao.","Seulement, je voudrais faire un crédit jusqu'au mois prochain.","_","active",
"270","9","Kaina trongo sa.","y a pas de problèmes.","_","active",
"271","9","Ne surwali ile kisaje ?","Ce pantalon coûte combien ?","_","active",
"272","9","Wami na wawe, riyali alifu mbili.","Entre nous, 250 F .","_","active",
"273","9","Bwi, usiudza hali swafi. Wami nisendra dzangu.","Oh ...oh, vous vendez trop cher. Moi,je m'en vais.","_","active",
"274","9","Ziya bweni, ritsorengeledza.","Attendez madame ... On va arranger le prix.","_","active",
"275","9","Musipua shitswa swafi.","Vraiment, vous exagérez.","_","active",
"276","9","Nisuhupuliya ithamani ....","Je baisse le prix pour vous.","_","active",
"277","9",".... Riyali ngavi basi ?","Combien alors?","_","active",
"278","9","Alifu mbili.","200 F.","_","active",
"279","9","Vavo tu ne usipara faida be nimbe tu.","Et même vous faites un gros bénéfice, mais donnez-le moi quand-même.","_","active",
"280","9","Marahaba bweni, suku yangina tsena …","Merci madame, à un de ces jours.","_","active",
"281","9","Haya kwaheri.","Allez au revoir.","_","active",
"282","10","Mdyiyo","Le manger","_","active",
"283","10","lhivu","C'est cuit","_","active",
"284","10","Mbitsi","Cru","_","active",
"285","10","Nisiona ndza","J'ai faim","_","active",
"286","10","Nisiona nyora","J'ai soif","_","active",
"287","10","Nisifa na ndza","Je meurs de faim","_","active",
"288","10","Umadza nyora","Apaiser sa soif","_","active",
"289","10","Isitolesa mare","Cela fait venir l'eau à la bouche","_","active",
"290","10","Nisinwa maji","Je bois de l'eau","_","active",
"291","10","Tsikura","Je suis rassasié","_","active",
"292","10","Inamoro","C'est chaud","_","active",
"293","10","Iziliya","C'est froid","_","active",
"294","10","Umedza","Avaler","_","active",
"295","10","Utsana","Mâcher","_","active",
"296","10","Usondza","Sucer","_","active",
"297","10","Tsikawa","J'ai avalé de travers","_","active",
"298","10","Abindruwa","Il a roté","_","active",
"299","10","Isijiva - Ina lada","C'est bon, agréable","_","active",
"300","10","Mbwadza","C'est insipide","_","active",
"301","10","Iolo","C'est pourri","_","active",
"302","10","Latabu ini ina mutru ?","Cette table est-elle prise ?","_","active",
"303","10","Pla , sahani ya shahula","Un plat","_","active",
"304","10","Sahani","Une assiette","_","active",
"305","10","Sutru","Une cuillère","_","active",
"306","10","Sembeya","Un couteau","_","active",
"307","10","Mtsuzi wa nyama","Une sauce de viande","_","active",
"308","10","Mtsuzi wa kuhu","Une sauce de poulet","_","active",
"309","10","Mtsuzi wa matra","Une sauce à l'huile","_","active",
"310","10","Mtsuzi wa fii","Une sauce au poisson","_","active",
"311","10","Mtsuzi wa nadzi","Une sauce au coco","_","active",
"312","10","Mtsuzi wa maji","Une sauce claire","_","active",
"313","10","Mataba","De la brède manioc","_","active",
"314","10","Batabata","De la banane ou manioc bouillis à l'eau","_","active",
"315","10","Matsidza, mura","Un plat de riz","_","active",
"316","10","Mutsolola","Banane et manioc assaisonnés de citron et accompagnés de viande ou de poisson.","_","active",
"317","10","Frampe la viswa","Du fruit à pain frit","_","active",
"318","10","Batabata la majimbi","Du songe bouilli","_","active",
"319","10","Mshakiki","Une brochette","_","active",
"320","10","Shingo","Du sel","_","active",
"321","10","Ina shingo","C'est salé","_","active",
"322","10","Ina putu","C'est pimenté","_","active",
"323","10","Ishiya shingo","C'est trop salé","_","active",
"324","10","Ishiya ndrimu","C'est trop de citron","_","active",
"325","10","Unwa","Le boire","_","active",
"326","10","Maji","De l'eau","_","active",
"327","10","Vera","Un verre","_","active",
"328","10","Bakuli ya dite","Une tasse de thé","_","active",
"329","10","Dite ya dziya","Du thé au lait","_","active",
"330","10","Kafe ya dziya","Du café au lait","_","active",
"331","10","Utsomoa","Verser","_","active",
"332","10","Sukari","Sucre","_","active",
"333","10","Ngizi","Doux, sucré","_","active",
"334","10","Ina ngizi","C'est sucré","_","active",
"335","10","Gudiya la sukari","Sucrier","_","active",
"336","10","Uvuvua","Infuser","_","active",
"337","10","Ubuhudza","Faire couler","_","active",
"338","10","Jeje Monye!","Bonjour Monsieur!","_","active",
"339","10","Ndjema.","Bonjour.","_","active",
"340","10","Utso renga trini mwa ?","Qu'est ce que vous prenez?","_","active",
"341","10","Nitso renga mtsolola .","Du mtsolola.","_","active",
"342","10","Na trini tsena ? Utsonwa shitru ?","Et quoi encore? Vous buvez quelque chose?","_","active",
"343","10","Nimbe maji ya baridi tu.","De l'eau fraîche me suffira.","_","active",
"344","10","Unu mtsolola wa trini mwa ?","C'est du mtsolola avec quoi?","_","active",
"345","10","Wa marumbo.","Du mtsolola aux entrailles(de boeuf).","_","active",
"346","10","Sabu isijiva ?","Est-ce délicieux?","_","active",
"347","10","Swafi be isi wawa ata hamwe.","Vraiment. Mais il est très piquant.","_","active",
"348","10","Bora maji yangu yake tu vavo.","?Ça ne fait rien. Que mon eau soit à côté. Ça me suffit.","_","active",
"349","10","Haya nisuhulisha.","Je vous laisse alors.","_","active",
"350","10","Marahaba","Merci","_","active",
"351","11","Ukodza","Avoir mal","_","active",
"352","11","Nisi kodza","J'ai mal","_","active",
"353","11","Usi kodza trini ?","De quoi souffrez-vous?","_","active",
"354","11","Usi kodza havi ?","Où avez -vous mal?","_","active",
"355","11","Nisi kodza soifi","Je suis vraiment souffrant","_","active",
"356","11","Tsisi fetre","Je ne me sens pas bien","_","active",
"357","11","Tsa haîri hairi","Je vais mieux","_","active",
"358","11","Tsi tsindziha umundru","Je me suis coupé le pied","_","active",
"359","11","Nisiona utungu","Je sens une douleur","_","active",
"360","11","Tsina buhuo","J'ai de la fièvre","_","active",
"361","11","Nisi kodza manyo","J'ai mal aux dents","_","active",
"362","11","Tsi remwa na nyoshi","J'ai été piqué par une abeille","_","active",
"363","11","Tsi remwa na jua","J'ai attrapé un coup de soleil","_","active",
"364","11","Tsina jongoma","J'ai attrapé un rhume","_","active",
"365","11","Nisiona udu","J'ai des vertiges","_","active",
"366","11","Nisikodza shitswa","J'ai mal à la tête","_","active",
"367","11","Tsilimbwa","J'ai un point de côté","_","active",
"368","11","Nisikodza umiyo","J'ai mal à la gorge","_","active",
"369","11","Abama","Il s'est évanoui","_","active",
"370","11","Nisidunga","J'ai des pertes","_","active",
"371","11","Kaya lazimu wala shingo nyengi !","Il ne faut pas manger trop de sel!","_","active",
"372","11","Uzihira","Soigner","_","active",
"373","11","Uvona","Guérir","_","active",
"374","11","Tsi vono, tsi angala","Je suis guéri","_","active",
"375","11","Avono, angala","Il est guéri","_","active",
"376","11","Afu","Il est mort","_","active",
"377","11","Asi raviha?","Il vomit?","_","active",
"378","11","Nisi samua","J'éternue","_","active",
"379","11","Usikohola?","Tu tousses?","_","active",
"380","11","Tsina jongoma","Je suis enrhumé","_","active",
"381","11","Tsusuhu","La rougeole","_","active",
"382","11","Tsajaja","La bourbouille","_","active",
"383","11","Kulukulu","Les oreillons","_","active",
"384","11","Ndrerema","Le paludisme","_","active",
"385","11","Kohola kavu","La tuberculose","_","active",
"386","11","Shondra","Une plaie","_","active",
"387","11","Ufunga shondra","Panser","_","active",
"388","11","Nisushuka damu","Je saigne","_","active",
"389","11","Dalao","Un médicament","_","active",
"390","11","Sindzano","Le vaccin, la seringue","_","active",
"391","11","Izimbi","C'est enflé","_","active",
"392","11","Upuwa manyo","Se faire arracher une dent","_","active",
"393","11","Nitsaha nipue dzinyo","Je voudrais m'arracher une dent","_","active",
"394","11","Nisi vuja","J'ai la diarrhée","_","active",
"395","11","Na wawe uhondro !","Ce que tu as maigri!","_","active",
"396","11","Duktera","Docteur, Médecin","_","active",
"397","11","Dukutera wa matso","L'occuliste","_","active",
"398","11","Dukutera wa makiyo","L'oto-rhino-laryngologiste","_","active",
"399","11","Duktera wa roho","Le cardiologue","_","active",
"400","11","Dukutera wa manyo","Le dentiste","_","active",
"401","11","Shitswa","La tête","_","active",
"402","11","Matso","Les yeux","_","active",
"403","11","Makiyo","Les oreilles","_","active",
"404","11","Pua","Le nez","_","active",
"405","11","Hanyo","La bouche","_","active",
"406","11","Manyo","Les dents","_","active",
"407","11","Mengo","Le dos","_","active",
"408","11","Mihono","Les mains","_","active",
"409","11","Mindru","Les pieds","_","active",
"410","12","Ukiya","Entendre","_","active",
"411","12","Ukiya?","As-tu entendu?","_","active",
"412","12","Mfu makiyo","Un sourd","_","active",
"413","12","Zi","Silence, silencieux","_","active",
"414","12","Uvulikiya","Ecouter","_","active",
"415","12","Keme","Du bruit","_","active",
"416","12","Musi triye keme","Ne criez pas","_","active",
"417","12","Na keme","Bruyant","_","active",
"418","12","Uhodza makiyo","Assourdissant","_","active",
"419","12","Arufu","L'odeur","_","active",
"420","12","Uvura harufu","Renifler","_","active",
"421","12","Usu kiya?","Tu sens?","_","active",
"422","12","Isunuka fetre","Ça sent bon","_","active",
"423","12","Isunuka nai","Ça sent mauvais","_","active",
"424","12","Vwusunuka uvundro","Ça pue","_","active",
"425","12","Kaina harufu","Inodore","_","active",
"426","12","Lada","Le goût","_","active",
"427","12","Ulauliya","Goûter, déguster","_","active",
"428","12","Nyongo","Amer","_","active",
"429","12","Ngizi tu","C'est doux, sucré","_","active",
"430","12","Mbwadza","Insipide","_","active",
"431","12","Utra mare","Cracher","_","active",
"432","12","Usika","Toucher, tenir","_","active",
"433","12","Laini","Lisse","_","active",
"434","12","Mangavu","Dur","_","active",
"435","12","Trembwavu","Doux","_","active",
"436","12","Magagara","Rugueux","_","active",
"437","12","Urongozi","La parole","_","active",
"438","12","Ulaguwa","Parler","_","active",
"439","12","Uhadisi","Discuter","_","active",
"440","12","Ubuyana","Rester bouche bée","_","active",
"441","12","Urongowa","Dire","_","active",
"442","12","Ubabuha","Bavarder","_","active",
"443","12","Ji","La voix","_","active",
"444","12","Uvutsa ji","Lancer un appel","_","active",
"445","12","Unguruma","Murmurer","_","active",
"446","12","Utsema","Chuchoter","_","active",
"447","12","Ulatsa keme","Crier","_","active",
"448","12","Utriya keme","Paire du bruit","_","active",
"449","12","Ji kali","Une voix perçante","_","active",
"450","12","Uhaya Iiji","S'enrouer la voix","_","active",
"451","12","Uwaridi","Réciter","_","active",
"452","12","Uona","Voir","_","active",
"453","12","Matsoni ha mutru","A portée de vue de quelqu'un","_","active",
"454","12","Kaono","Un malvoyant","_","active",
"455","12","Matso mahali","Une vue perçante","_","active",
"456","12","Miwani","Les lunettes","_","active",
"457","12","Matso ma biru","Qui louche","_","active",
"458","12","Mfu matso","Un aveugle","_","active",
"459","12","Uvavatsa","Tâtonner","_","active",
"460","12","Ungaliya","Regarder","_","active",
"461","12","Angaliya!","Regarde!","_","active",
"462","12","Nisi ona mauri","Il me semble que","_","active",
"463","12","Waye ufana na umwana wangu","Il ressemble à mon fils","_","active",
"464","12","Nisuhu fanisa na Saïd","Il me semble que tu ressembles à Saïd","_","active",
"465","12","Uzunguha","Chercher","_","active",
"466","12","Udunga na matso","Suivre des yeux","_","active",
"467","12","Umaizi","Apercevoir","_","active",
"468","12","Ukadza matso","Scruter du regard","_","active",
"469","12","Ungaliya na ko la dzitso","Regarder à la dérobée","_","active",
"470","12","Uvenya dzitso","Cligner de l'oeil","_","active",
"471","12","Angaliya ha dzitso moro","Regarder avec colère","_","active",
"472","12","Duktera mwana wangu asi kodza.","Docteur, mon enfant est malade.","_","active",
"473","12","Asi kodza trini ? Trini imuhodzao ?","De quoi souffre -t-il ?","_","active",
"474","12","Tsiji be ahila shitru, asuraviha ; aisa asi dridrima na ukohola yama yama.","Je l'ignore mais à chaque fois qu'il mange quelque chose, il vomit; en plus il tremblote et tousse sans arrêt.","_","active",
"475","12","Mutsengeledze koni hunu !","Approchez-le ici s'il vous plaît!","_","active",
